user;cpu_percent;cpu_frequency;ram_percent;swap_memory_total;swap_memory_used;swap_memory_percent;upload_speed;download_speed;temperature;fans_speed;disk;gpu_usage;gpu_energy;timestamp
14:7f:ce:d1:b4:42;20.8;3.5;81.2;7.0;6.21;88.7;0.0;0.0;0.0;0.0;40.12;0.0;0.0;2026-09-07 20:04:41.879900
14:7f:ce:d1:b4:42;24.2;3.5;81.3;7.0;6.21;88.7;0.06;0.12;0.0;0.0;40.12;0.0;0.0;2026-09-07 20:04:51.884217
14:7f:ce:d1:b4:42;25.7;3.5;80.1;7.0;6.21;88.7;0.04;0.07;0.0;0.0;40.12;0.0;0.0;2026-09-07 20:05:01.894251
14:7f:ce:d1:b4:42;17.7;3.5;80.3;7.0;6.21;88.7;0.09;0.09;0.0;0.0;40.12;0.0;0.0;2026-09-07 20:05:11.898118
14:7f:ce:d1:b4:42;14.4;3.5;80.9;7.0;6.21;88.7;0.1;0.49;0.0;0.0;40.13;0.0;0.0;2026-09-07 20:05:21.914455
