user;cpu_percent;cpu_frequency;ram_percent;swap_memory_total;swap_memory_used;swap_memory_percent;upload_speed;download_speed;temperature;fans_speed;disk;gpu_usage;gpu_energy;timestamp
14:7f:ce:d1:b4:42;16.2;;83.1;;;89.7;7.68;4.2;0.0;0.0;39.34;0.0;0.0;2026-09-01 14:23:01.886356
14:7f:ce:d1:b4:42;7.1;;81.8;;;89.7;7.68;4.2;0.0;0.0;39.34;0.0;0.0;2026-09-01 14:23:11.893864
14:7f:ce:d1:b4:42;3.9;;81.6;;;89.7;7.68;4.2;0.0;0.0;39.34;0.0;0.0;2026-09-01 14:23:21.902526
14:7f:ce:d1:b4:42;29.6;;81.9;;;89.7;7.68;4.2;0.0;0.0;39.34;0.0;0.0;2026-09-01 14:23:31.910643
14:7f:ce:d1:b4:42;16.8;;82.3;;;89.7;7.68;4.2;0.0;0.0;39.34;0.0;0.0;2026-09-01 14:23:41.913937
